rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
18,20231207_11-35-41.473792,insect,0.85,1,0.012,0.1819,0.0865,0.2562,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-35-41.473792_1_crop.jpg
18,20231207_11-36-05.511504,insect,0.78,2,0.0094,0.1859,0.0772,0.3472,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-05.511504_2_crop.jpg
18,20231207_11-36-07.619850,insect,0.62,7,0.0489,0.2886,0.1086,0.3571,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-07.619850_7_crop.jpg
18,20231207_11-36-08.673178,insect,0.72,7,-0.0001,0.2301,0.0355,0.3001,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-08.673178_7_crop.jpg
18,20231207_11-36-17.015778,insect,0.51,21,0.0045,0.208,0.0265,0.2305,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-17.015778_21_crop.jpg
18,20231207_11-36-19.131420,insect,0.56,21,0.0017,0.1928,0.0274,0.2185,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-19.131420_21_crop.jpg
18,20231207_11-36-37.882397,insect,0.5,22,0.118,-0.0012,0.2168,0.0887,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-37.882397_22_crop.jpg
18,20231207_11-36-39.971608,insect,0.53,23,0.1145,0.0017,0.2013,0.0651,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-39.971608_23_crop.jpg
18,20231207_11-36-45.173341,insect,0.62,23,0.1125,0.001,0.1878,0.065,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-45.173341_23_crop.jpg
18,20231207_11-36-46.208692,insect,0.64,23,0.1127,0.0008,0.1887,0.0664,insect-detect/data/20231207/20231207_11-35/cropped/insect/20231207_11-36-46.208692_23_crop.jpg
