rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
22,20240222_16-55-02.191855,insect,0.82,1,0.5213,0.4901,0.5793,0.5792,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.191855_1_crop.jpg
22,20240222_16-55-02.252905,insect,0.79,2,0.3509,0.463,0.4033,0.5693,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.252905_2_crop.jpg
22,20240222_16-55-02.256427,insect,0.79,3,0.3408,0.604,0.3919,0.7132,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.256427_3_crop.jpg
22,20240222_16-55-02.259901,insect,0.77,4,0.4517,0.7935,0.491,0.8472,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.259901_4_crop.jpg
22,20240222_16-55-02.262538,insect,0.76,5,0.5217,0.6361,0.5658,0.7206,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.262538_5_crop.jpg
22,20240222_16-55-02.265597,insect,0.74,6,0.4677,0.496,0.5064,0.5415,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.265597_6_crop.jpg
22,20240222_16-55-02.268336,insect,0.71,7,0.3309,0.7555,0.3801,0.8588,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.268336_7_crop.jpg
22,20240222_16-55-02.271752,insect,0.7,8,0.5793,0.3911,0.6127,0.4435,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.271752_8_crop.jpg
22,20240222_16-55-02.273989,insect,0.67,9,0.4804,0.3561,0.5067,0.3969,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.273989_9_crop.jpg
22,20240222_16-55-02.276418,insect,0.64,10,0.4592,0.6419,0.4978,0.6917,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.276418_10_crop.jpg
22,20240222_16-55-02.279278,insect,0.58,11,0.5365,0.358,0.5672,0.423,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.279278_11_crop.jpg
22,20240222_16-55-02.281629,insect,0.6,12,0.5118,0.7831,0.5602,0.8733,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.281629_12_crop.jpg
22,20240222_16-55-02.284750,insect,0.53,13,0.5573,0.8272,0.5983,0.8872,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.284750_13_crop.jpg
22,20240222_16-55-02.287718,insect,0.57,14,0.3575,0.3356,0.4048,0.4254,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-02.287718_14_crop.jpg
22,20240222_16-55-03.330411,insect,0.83,1,0.5216,0.4903,0.5783,0.5792,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.330411_1_crop.jpg
22,20240222_16-55-03.335077,insect,0.79,2,0.3506,0.4631,0.4047,0.5694,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.335077_2_crop.jpg
22,20240222_16-55-03.340273,insect,0.79,3,0.3411,0.6043,0.3922,0.7138,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.340273_3_crop.jpg
22,20240222_16-55-03.348503,insect,0.77,4,0.4518,0.7934,0.4911,0.8471,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.348503_4_crop.jpg
22,20240222_16-55-03.354026,insect,0.77,5,0.5212,0.6364,0.5663,0.7224,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.354026_5_crop.jpg
22,20240222_16-55-03.358471,insect,0.73,6,0.4675,0.496,0.5064,0.5418,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.358471_6_crop.jpg
22,20240222_16-55-03.362316,insect,0.74,7,0.3304,0.7562,0.3793,0.8576,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.362316_7_crop.jpg
22,20240222_16-55-03.367553,insect,0.68,8,0.5795,0.3912,0.6133,0.4439,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.367553_8_crop.jpg
22,20240222_16-55-03.371645,insect,0.62,9,0.4807,0.3566,0.5061,0.3964,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.371645_9_crop.jpg
22,20240222_16-55-03.375290,insect,0.63,10,0.4589,0.642,0.4977,0.6921,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.375290_10_crop.jpg
22,20240222_16-55-03.379646,insect,0.56,11,0.5366,0.3577,0.5675,0.4235,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.379646_11_crop.jpg
22,20240222_16-55-03.383697,insect,0.64,12,0.5104,0.7825,0.5609,0.8737,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.383697_12_crop.jpg
22,20240222_16-55-03.388531,insect,0.57,13,0.5572,0.826,0.5985,0.8871,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.388531_13_crop.jpg
22,20240222_16-55-03.392552,insect,0.54,14,0.3564,0.3358,0.4097,0.4193,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-03.392552_14_crop.jpg
22,20240222_16-55-04.425385,insect,0.83,1,0.5223,0.4908,0.5775,0.5794,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-04.425385_1_crop.jpg
22,20240222_16-55-06.167744,insect,0.79,2,0.3506,0.4634,0.4049,0.5697,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-06.167744_2_crop.jpg
22,20240222_16-55-08.012459,insect,0.8,3,0.3409,0.6048,0.3914,0.7136,insect-detect/data/20240222/20240222_16-54/cropped/insect/20240222_16-55-08.012459_3_crop.jpg
