rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
20,20240222_16-26-44.623060,insect,0.57,1,0.63,0.0831,0.6742,0.1728,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-44.623060_1_crop.jpg
20,20240222_16-26-49.483625,insect,0.77,2,0.333,0.757,0.3764,0.8456,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-49.483625_2_crop.jpg
20,20240222_16-26-50.589291,insect,0.82,3,0.3438,0.6079,0.392,0.7173,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-50.589291_3_crop.jpg
20,20240222_16-26-52.537643,insect,0.8,4,0.3521,0.4645,0.4041,0.5703,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-52.537643_4_crop.jpg
20,20240222_16-26-54.797570,insect,0.67,5,0.5821,0.3923,0.6126,0.4453,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-54.797570_5_crop.jpg
20,20240222_16-26-57.837521,insect,0.81,6,0.5221,0.6374,0.5659,0.7237,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-26-57.837521_6_crop.jpg
20,20240222_16-27-01.422026,insect,0.82,7,0.5243,0.4893,0.5779,0.5792,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-01.422026_7_crop.jpg
20,20240222_16-27-05.198978,insect,0.53,8,0.5582,0.8256,0.5988,0.8893,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-05.198978_8_crop.jpg
20,20240222_16-27-08.796616,insect,0.65,9,0.4701,0.498,0.5045,0.5407,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-08.796616_9_crop.jpg
20,20240222_16-27-13.160950,insect,0.62,10,0.5594,0.6633,0.6021,0.737,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-13.160950_10_crop.jpg
20,20240222_16-27-18.664642,insect,0.57,12,0.5116,0.7806,0.5601,0.8764,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-18.664642_12_crop.jpg
20,20240222_16-27-21.753200,insect,0.65,13,0.4591,0.6409,0.4985,0.6939,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-21.753200_13_crop.jpg
20,20240222_16-27-24.944170,insect,0.78,14,0.4535,0.7939,0.4905,0.8471,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-24.944170_14_crop.jpg
20,20240222_16-27-32.460163,insect,0.58,18,0.3587,0.3341,0.4047,0.4254,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-27-32.460163_18_crop.jpg
20,20240222_16-28-35.710577,insect,0.78,2,0.3328,0.7566,0.3766,0.8461,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-28-35.710577_2_crop.jpg
20,20240222_16-28-44.356785,insect,0.83,3,0.3436,0.6077,0.3918,0.715,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-28-44.356785_3_crop.jpg
20,20240222_16-28-54.518907,insect,0.81,4,0.3518,0.4641,0.4043,0.57,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-28-54.518907_4_crop.jpg
20,20240222_16-29-00.233788,insect,0.64,5,0.582,0.3922,0.6129,0.4458,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-00.233788_5_crop.jpg
20,20240222_16-29-05.080257,insect,0.81,6,0.5221,0.6381,0.5655,0.724,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-05.080257_6_crop.jpg
20,20240222_16-29-10.800833,insect,0.82,7,0.5246,0.4896,0.5775,0.5791,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-10.800833_7_crop.jpg
20,20240222_16-29-16.571977,insect,0.54,8,0.5585,0.8261,0.5986,0.8892,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-16.571977_8_crop.jpg
20,20240222_16-29-21.092441,insect,0.67,9,0.4701,0.498,0.5046,0.5408,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-21.092441_9_crop.jpg
20,20240222_16-29-25.270989,insect,0.6,10,0.5603,0.6638,0.6023,0.7371,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-25.270989_10_crop.jpg
20,20240222_16-29-31.785306,insect,0.61,12,0.5115,0.783,0.559,0.8775,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-31.785306_12_crop.jpg
20,20240222_16-29-37.901585,insect,0.67,13,0.4592,0.6403,0.4982,0.694,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-37.901585_13_crop.jpg
20,20240222_16-29-46.274315,insect,0.78,14,0.4537,0.794,0.4904,0.8469,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-29-46.274315_14_crop.jpg
20,20240222_16-30-03.917198,insect,0.58,18,0.3601,0.3315,0.4073,0.4243,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-30-03.917198_18_crop.jpg
20,20240222_16-30-34.214206,insect,0.8,2,0.3322,0.7585,0.377,0.8493,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-30-34.214206_2_crop.jpg
20,20240222_16-31-33.658920,insect,0.83,3,0.3428,0.6051,0.392,0.7173,insect-detect/data/20240222/20240222_16-26/cropped/insect/20240222_16-31-33.658920_3_crop.jpg
