rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
21,20231207_13-14-09.140643,insect,0.74,3,0.3499,0.4104,0.4191,0.4949,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.140643_3_crop.jpg
21,20231207_13-14-09.189328,insect,0.52,5,0.5679,-0.0036,0.6112,0.1095,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.189328_5_crop.jpg
21,20231207_13-14-09.192828,insect,0.78,7,0.3364,0.6424,0.3928,0.7502,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.192828_7_crop.jpg
21,20231207_13-14-09.196389,insect,0.73,8,0.4483,0.8055,0.4731,0.8455,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.196389_8_crop.jpg
21,20231207_13-14-09.198996,insect,0.74,9,0.3418,0.5349,0.3923,0.6218,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.198996_9_crop.jpg
21,20231207_13-14-09.202373,insect,0.74,10,0.3271,0.7852,0.3812,0.8895,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-09.202373_10_crop.jpg
21,20231207_13-14-11.289736,insect,0.61,3,0.3485,0.411,0.4123,0.4945,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-11.289736_3_crop.jpg
21,20231207_13-14-11.296002,insect,0.77,7,0.3331,0.6512,0.3834,0.7523,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-11.296002_7_crop.jpg
21,20231207_13-14-11.300283,insect,0.75,8,0.4443,0.8071,0.4747,0.8558,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-11.300283_8_crop.jpg
21,20231207_13-14-11.303136,insect,0.79,9,0.3424,0.5321,0.3918,0.6204,insect-detect/data/20231207/20231207_13-14/cropped/insect/20231207_13-14-11.303136_9_crop.jpg
