rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
24,20231207_22-43-06.851576,insect,0.79,4,0.6187,-0.0012,0.6681,0.0307,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-43-06.851576_4_crop.jpg
24,20231207_22-43-06.981740,insect,0.63,6,0.5577,0.0075,0.599,0.0495,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-43-06.981740_6_crop.jpg
24,20231207_22-44-47.674494,insect,0.63,7,0.4514,0.6329,0.4755,0.6768,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-47.674494_7_crop.jpg
24,20231207_22-44-47.677469,insect,0.6,8,0.4545,0.4711,0.4782,0.5169,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-47.677469_8_crop.jpg
24,20231207_22-44-48.725502,insect,0.51,7,0.4491,0.6386,0.4742,0.6859,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.725502_7_crop.jpg
24,20231207_22-44-48.728679,insect,0.59,8,0.4512,0.469,0.4775,0.5156,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.728679_8_crop.jpg
24,20231207_22-44-48.731906,insect,0.72,9,0.5656,0.6704,0.5945,0.7319,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.731906_9_crop.jpg
24,20231207_22-44-48.735364,insect,0.68,10,0.5668,0.4981,0.6007,0.5623,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.735364_10_crop.jpg
24,20231207_22-44-48.738743,insect,0.61,11,0.5578,0.8352,0.5913,0.8952,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.738743_11_crop.jpg
24,20231207_22-44-48.744270,insect,0.65,12,0.567,0.3245,0.6082,0.3927,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.744270_12_crop.jpg
24,20231207_22-44-48.746806,insect,0.58,13,0.4534,0.2947,0.4811,0.3438,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-48.746806_13_crop.jpg
24,20231207_22-44-50.845936,insect,0.64,7,0.4483,0.6361,0.4753,0.6838,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-50.845936_7_crop.jpg
24,20231207_22-44-55.840448,insect,0.65,8,0.4521,0.4692,0.4785,0.5176,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-55.840448_8_crop.jpg
24,20231207_22-44-57.509522,insect,0.7,9,0.5643,0.6665,0.5938,0.7293,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-57.509522_9_crop.jpg
24,20231207_22-44-57.514660,insect,0.69,10,0.5667,0.4988,0.5996,0.5617,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-57.514660_10_crop.jpg
24,20231207_22-44-57.520652,insect,0.67,11,0.5596,0.8308,0.5912,0.8891,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-57.520652_11_crop.jpg
24,20231207_22-44-57.523409,insect,0.64,12,0.5651,0.3243,0.6076,0.3932,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-57.523409_12_crop.jpg
24,20231207_22-44-57.527938,insect,0.62,13,0.4533,0.2953,0.483,0.3422,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-57.527938_13_crop.jpg
24,20231207_22-44-58.571008,insect,0.51,7,0.4556,0.6264,0.477,0.6728,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-58.571008_7_crop.jpg
24,20231207_22-44-58.576065,insect,0.51,8,0.457,0.4694,0.4795,0.5175,insect-detect/data/20231207/20231207_22-42/cropped/insect/20231207_22-44-58.576065_8_crop.jpg
