unique_identifier,rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
nightlife1,8,20231206_14-08-48.136961,insect,0.7,1,0.9446,0.1961,0.9677,0.2424,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-48.136961_1_crop.jpg
nightlife1,8,20231206_14-08-48.247500,insect,0.71,2,0.9588,0.2351,0.9951,0.3603,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-48.247500_2_crop.jpg
nightlife1,8,20231206_14-08-49.516271,insect,0.6,1,0.9586,0.1829,0.9855,0.2559,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-49.516271_1_crop.jpg
nightlife1,8,20231206_14-08-49.575339,insect,0.59,2,0.9668,0.2337,0.9974,0.333,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-49.575339_2_crop.jpg
nightlife1,8,20231206_14-08-49.580753,insect,0.72,3,0.019,0.6375,0.082,0.7285,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-49.580753_3_crop.jpg
nightlife1,8,20231206_14-08-51.560441,insect,0.7,1,0.9821,0.1771,1.0002,0.2219,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-51.560441_1_crop.jpg
nightlife1,8,20231206_14-08-53.327024,insect,0.59,1,0.9614,0.1768,0.9903,0.2679,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-53.327024_1_crop.jpg
nightlife1,8,20231206_14-08-53.493607,insect,0.68,3,0.0172,0.6381,0.0821,0.7314,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-53.493607_3_crop.jpg
nightlife1,8,20231206_14-08-54.671765,insect,0.71,1,0.9489,0.197,0.973,0.245,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-54.671765_1_crop.jpg
nightlife1,8,20231206_14-08-54.681349,insect,0.78,4,0.958,0.2306,0.9962,0.3462,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-54.681349_4_crop.jpg
nightlife1,8,20231206_14-08-55.729837,insect,0.73,1,0.9644,0.1707,0.9924,0.2588,insect-detect/data/20231206/20231206_14-08/cropped/insect/20231206_14-08-55.729837_1_crop.jpg
