unique_identifier,rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
nightlife1,1,20231205_21-39-18.508642,insect,0.88,1,0.1688,0.5939,0.2201,0.6797,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-18.508642_1_crop.jpg
nightlife1,1,20231205_21-39-18.624359,insect,0.76,2,0.5066,0.6001,0.5419,0.654,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-18.624359_2_crop.jpg
nightlife1,1,20231205_21-39-19.685982,insect,0.86,1,0.1704,0.5928,0.2215,0.6793,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-19.685982_1_crop.jpg
nightlife1,1,20231205_21-39-19.691995,insect,0.72,2,0.5058,0.5955,0.5454,0.6582,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-19.691995_2_crop.jpg
nightlife1,1,20231205_21-39-20.724062,insect,0.87,1,0.1504,0.5884,0.214,0.6985,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-20.724062_1_crop.jpg
nightlife1,1,20231205_21-39-31.380015,insect,0.87,2,0.5009,0.5973,0.548,0.6738,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-31.380015_2_crop.jpg
nightlife1,1,20231205_21-39-33.085750,insect,0.88,2,0.487,0.5787,0.563,0.7072,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-33.085750_2_crop.jpg
nightlife1,1,20231205_21-39-34.124933,insect,0.83,2,0.4899,0.5878,0.5616,0.7068,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-34.124933_2_crop.jpg
nightlife1,1,20231205_21-39-35.162269,insect,0.65,2,0.4926,0.5865,0.5586,0.7097,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-35.162269_2_crop.jpg
nightlife1,1,20231205_21-39-36.196351,insect,0.7,2,0.4894,0.5854,0.5608,0.7079,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-36.196351_2_crop.jpg
nightlife1,1,20231205_21-39-37.230393,insect,0.77,2,0.4885,0.5951,0.5596,0.7156,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-37.230393_2_crop.jpg
nightlife1,1,20231205_21-39-38.262063,insect,0.79,2,0.4867,0.5925,0.5595,0.7194,insect-detect/data/20231205/20231205_21-39/cropped/insect/20231205_21-39-38.262063_2_crop.jpg
